original,clickbait,methods_vector,neutralized,STS_similarity,BERTScore_P,BERTScore_R,BERTScore_F1,LLM_Judge_Level,LLM_Judge_Explanation
"south african, angolan leaders to visit zimbabwe ob wednesday",the upcoming high-stakes visit: south african and angolan leaders head to zimbabwe,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",south african and angolan leaders to visit zimbabwe,0.9760023355484008,0.9875467419624328,0.9539383053779602,0.9704516530036926,medium,"The neutralized headline removes the specific day of the visit, which alters the temporal context of the event."
"pence reassures japan of u.s. resolve on north korea, to work with china",pence's assurance to japan: what it means for u.s. resolve on north korea,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",pence assures japan about u.s. resolve on north korea,0.944315791130066,0.9881219863891602,0.9499107003211976,0.9686396718025208,medium,"The neutralized headline captures the primary assurance but omits the collaboration with China, which is a significant aspect of the original meaning."
"republican rift widens as trump declines to endorse ryan, mccain",what does trump's non-endorsement of ryan and mccain signal for the republican party?,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",trump does not endorse ryan and mccain and its implications for the republican party,0.7361361980438232,0.8992133140563965,0.8935648798942566,0.8963801264762878,medium,"The neutralized headline captures the fact that Trump did not endorse Ryan and McCain, but it introduces a focus on the implications for the Republican Party, which shifts the emphasis away from the rift itself."
pennsylvania democrats raise concerns over cp's norfolk southern bid,pennsylvania democrats express concerns: is the norfolk southern bid in jeopardy?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",pennsylvania democrats raise concerns about norfolk southern bid,0.9317414164543152,0.9849960207939148,0.9739551544189452,0.9794444441795348,high,"The neutralized headline effectively maintains the original meaning by conveying that Pennsylvania Democrats have concerns regarding the Norfolk Southern bid, albeit without mentioning CP."
ny judge dismisses attempt to block canada-born cruz from state's ballot,the controversy unfolds: ny judge’s decision on canada-born cruz's ballot eligibility,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",ny judge's decision on canada-born cruz's ballot eligibility raises controversy,0.7828568816184998,0.9446558952331544,0.9366782307624816,0.940650224685669,medium,"The neutralized headline shifts the focus from the dismissal of the attempt to block Cruz's ballot to the controversy surrounding his eligibility, which alters the original meaning."
'a better future' - britain's may tries to rally her conservatives,can may's vision of 'a better future' unite her conservative party?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",can may's vision of a better future unite her conservative party,0.8142954111099243,0.9059963822364808,0.8636432886123657,0.8843129873275757,medium,"The neutralized headline changes the focus from May's attempt to rally her party to the potential of her vision uniting them, altering the original's emphasis on her immediate action."
u.s. senator flake concerned about tax plan impact on debt,how will flake's concerns about the tax plan affect national debt?,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",flake expresses concerns about the tax plan and its implications for national debt,0.9088372588157654,0.929343283176422,0.9207926988601683,0.9250481724739076,high,The neutralized headline maintains the original meaning by conveying Senator Flake's concerns about the tax plan and its effect on national debt.
"north korea says sanctions hurting women, children",north korea highlights disturbing impact of sanctions on women and children,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",north korea reports on effects of sanctions on women and children,0.9285653829574584,0.946764349937439,0.9644173383712769,0.95550936460495,medium,The neutralized headline partially preserves the meaning by referencing the effects of sanctions on women and children but loses the explicit assertion of blame or impact stated by North Korea.
congress remains overwhelmingly christian as u.s. shifts -survey,what does a predominantly christian congress mean for america’s evolving identity?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",the implications of a predominantly christian congress for america's evolving identity,0.7502681016921997,0.8668676614761353,0.8840507864952087,0.8753749132156372,medium,The neutralized headline conveys a broader discussion about the implications of a predominantly Christian Congress but shifts focus away from the survey's specific finding about the current state of Congress and the U.S. shift in identity.
london's east croydon station to reopen after security check: police,east croydon station set to reopen: what led to the security review?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",east croydon station to reopen following security review,0.9287976622581482,0.9526217579841614,0.9134230017662048,0.9326106905937196,medium,"The neutralized headline omits the reference to police involvement and uses 'review' instead of 'check,' which changes the specificity and context of the security process."
republican 2016 platform calls for reinstating 1933 banking law,could the reinstatement of a 1933 banking law resonate in today's political landscape?,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",reinstatement of a 1933 banking law and its implications for today's political landscape,0.8009980320930481,0.88300621509552,0.8845947980880737,0.8837997913360596,medium,"While the neutralized headline mentions the reinstatement of a 1933 banking law, it shifts focus from the specific context of the Republican 2016 platform to a broader discussion on implications for today's political landscape, thus partially preserving the original meaning."
u.n. hopes trump will preach human rights to duterte,can trump influence duterte’s stance on human rights? the u.n. sees potential,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",can trump influence duterte's stance on human rights according to the u.n.,0.8045598864555359,0.912684202194214,0.9265564680099488,0.9195680618286132,medium,"The neutralized headline shifts the focus from the U.N. hoping for Trump's action to questioning his potential influence, which alters the meaning but retains some elements of the original context."
"trump declines to endorse ryan, mccain for re-election: washington post",what trump's decision not to endorse ryan and mccain means for the gop's future,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",trump's decision not to endorse ryan and mccain and its implications for the gop's future,0.7660764455795288,0.909815788269043,0.8968508839607239,0.903286874294281,medium,"The neutralized headline maintains some aspects of the original meaning but adds a focus on the implications for the GOP, which shifts the emphasis away from Trump's specific action of declining endorsements."
china's most-wanted fugitive jailed for eight years for graft,a notorious fugitive faces justice: eight years behind bars for graft in china,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",a fugitive is sentenced to eight years in prison for graft in china,0.8825283050537109,0.925262451171875,0.9164061546325684,0.920812964439392,high,"The neutralized headline effectively captures the core information of the original headline, maintaining the details about the fugitive, the sentence length, the nature of the crime, and the context related to China."
kurds displaced by iraq advance fear reprisals if they return,displaced kurds face difficult choices: what do they fear upon returning home?,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",displaced kurds encounter challenges and concerns about returning home,0.7636096477508545,0.902079939842224,0.8704304695129395,0.8859726190567017,medium,"The neutralized headline captures some aspects of the original but shifts the focus from specific fears of reprisals to general challenges and concerns, resulting in a noticeable change in meaning."
south africa anti-zuma protests harden anc succession divides,the intensifying anti-zuma protests: what it reveals about anc's internal divisions,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",intensifying anti-zuma protests reveal internal divisions within the anc,0.8554906845092773,0.8884947896003723,0.8817557096481323,0.8851124048233032,high,"The neutralized headline retains the core meaning of the original by describing the anti-Zuma protests and their connection to internal divisions within the ANC, which reflects the succession divides noted in the original."
eu state ready to help ukraine hunt down military-aged men,why is an eu state offering to assist ukraine in identifying military-aged men?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",eu state offers assistance to ukraine in identifying military-aged men,0.8937211632728577,0.9543019533157348,0.9545281529426576,0.9544150233268738,medium,"While both headlines refer to assistance in identifying military-aged men in Ukraine, the original's implication of actively hunting them down is softened in the neutralized version to simply offering assistance, which changes the nuance of the action."
"turkey's yildirim says u.s. visa move positive, calls for extradition of cleric",turkey sees positive step in u.s. visa policy: what does this mean for extradition requests?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",turkey experiences change in u.s. visa policy and its implications for extradition requests,0.6599507331848145,0.9016823768615724,0.8587770462036133,0.8797069191932678,medium,The neutralized headline changes the focus from a specific statement made by Turkey's Yildirim regarding the U.S. visa move and extradition of a cleric to a broader mention of changes in U.S. visa policy without clearly linking it to extradition requests.
"u.s. lawmakers reach deal on russia sanctions bill, creating limits for trump",what do new russia sanctions mean for trump's presidency? lawmakers reach a crucial deal,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]",new russia sanctions and their implications for trump's presidency as lawmakers reach a deal,0.7782390713691711,0.9027600288391112,0.9047793745994568,0.9037685394287108,medium,"While the neutralized headline conveys the topic of Russia sanctions and mentions Trump, it shifts the focus from the specific deal reached by lawmakers to the implications for Trump's presidency, resulting in a loss of specificity."
scottish leader says trump win brings 'real sense of anxiety' for many,what concerns does trump's victory bring for citizens in scotland?,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",what concerns does trump's victory raise for citizens in scotland?,0.7106583714485168,0.885353684425354,0.877335786819458,0.8813264966011047,medium,"The neutralized headline shifts the focus from the specific feeling of anxiety expressed by the Scottish leader to a broader inquiry about concerns raised by Trump's victory, which alters the original sentiment."
comey defends actions during 'challenging' u.s. election year,james comey's reflections on a 'challenging' election year: what did he really face?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",james comey discusses his experiences during the 2016 election year,0.7249735593795776,0.8841162323951721,0.8895968198776245,0.8868480324745178,medium,"While both headlines refer to James Comey and the 2016 election year, the neutralized version omits the defensive aspect of Comey's actions and the characterization of the election year as 'challenging.'"
factbox: summary of trump's comments in new york times interview,key takeaways from trump's revelatory new york times interview,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",key takeaways from trump's interview with the new york times,0.8055415749549866,0.9205979704856871,0.9103769659996032,0.9154589772224426,high,The neutralized headline effectively conveys the essence of the original by summarizing the key points of Trump's comments from the interview without altering the main idea.
trump supports republican tax overhaul bill: adviser,what trump's endorsement of the republican tax bill means for americans,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",trump endorses the republican tax bill and its implications for americans,0.6919716596603394,0.890137791633606,0.9073562622070312,0.8986645340919495,medium,"The neutralized headline suggests a broader endorsement and implications, which changes the focus and details of the original statement about support for a specific bill."
house approves $622 million to combat zika virus,house passes landmark $622 million to tackle the zika virus: what’s next?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",house passes $622 million bill to address the zika virus,0.9339002966880798,0.9674134254455566,0.9777129292488098,0.9725359678268432,high,"The neutralized headline maintains the core meaning of the original by conveying that the house has approved funding to address the Zika virus, with only slight variations in wording."
turkey to detain 99 suspects in widening post-coup probe: anadolu,turkey's latest move: the shocking detention of 99 in post-coup investigations,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",turkey detains 99 individuals in post-coup investigations,0.9201723337173462,0.9598430395126344,0.8999632000923157,0.9289391040802002,high,"The neutralized headline maintains the core information of the original, conveying that Turkey is detaining individuals in relation to post-coup investigations."
bali's erupting volcano raises air travel warnings,how bali's volcano eruption could disrupt your travel plans,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",how bali's volcano eruption may impact travel plans,0.8480632901191711,0.9238752722740172,0.9282517433166504,0.926058292388916,medium,"The neutralized headline suggests a potential impact on travel plans instead of focusing on the immediate air travel warnings due to the volcano's eruption, altering the urgency and nature of the original message."
trump campaign star conway named as his presidential counselor,the surprising appointment of conway as trump’s presidential counselor,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",the appointment of conway as trump’s presidential counselor,0.7422583699226379,0.9226475954055786,0.9061518907546996,0.9143253564834596,high,The neutralized headline fully preserves the meaning of the original by conveying the same essential information about Conway's appointment as Trump's presidential counselor.
trump and duterte bond at asia summit; u.s. says discussed rights,what trump and duterte's bonding moment at the asia summit reveals,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",what trump and duterte discussed at the asia summit,0.7934827208518982,0.9408655166625975,0.9078366756439208,0.9240560531616212,medium,"The neutralized headline captures the general topic of discussion between Trump and Duterte but omits the focus on the bond they formed and the mention of human rights, resulting in a noticeable change in meaning."
russia-trump campaign collusion an 'open' issue: u.s. senate panel chiefs,is the russia-trump campaign connection still an ongoing investigation?,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",is the russia-trump campaign connection under investigation?,0.6503957509994507,0.8950943350791931,0.8685506582260132,0.8816227912902832,medium,"The neutralized headline retains some elements of the original meaning by referencing the Russia-Trump campaign connection, but it shifts the focus from the ongoing issue of collusion to questioning whether there is an investigation, thus altering the context significantly."
kurdistan region asks international help to spur dialogue with baghdad,the kurdistan region’s plea for international support: what’s at stake?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",kurdistan region seeks international support and outlines potential consequences,0.7412153482437134,0.9309425354003906,0.8854489922523499,0.9076260924339294,medium,"The neutralized headline suggests a broader intention of seeking support and outlining consequences, which strays from the original focus on requesting help specifically to facilitate dialogue with Baghdad."
colombia's senate approves peace tribunals for ex-rebels,could colombia's approval of peace tribunals lead to lasting reconciliation?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",colombia's approval of peace tribunals and its potential impact on reconciliation,0.7870904803276062,0.930382490158081,0.931866466999054,0.931123912334442,medium,"The neutralized headline changes the focus from a specific legislative action regarding peace tribunals to a broader discussion about the potential impact on reconciliation, which alters the original meaning."
fbi chief sees no evidence of white house interference in russia probe,what the fbi’s findings reveal about the white house and the russia investigation,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",fbi findings related to the white house and the russia investigation,0.6880404949188232,0.9337599277496338,0.9120792150497437,0.9227921962738036,medium,"The neutralized headline suggests a focus on FBI findings without directly addressing the lack of evidence of interference from the White House, resulting in noticeable changes to the original meaning."
white house optimistic congress will avoid government shutdown,will congress heed the white house's optimism and prevent a government shutdown?,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",will congress respond to the white house's optimism and prevent a government shutdown,0.8619881272315979,0.8873608708381653,0.9083864092826844,0.8977505564689636,medium,"The neutralized headline shifts the focus from the White House's optimism to a question about Congress's potential response, altering the original meaning while still relating to the topic of government shutdown."
"in abrupt shift, trump warms to china and nato, sours on russia",trump's surprising pivot: embracing china and nato while turning away from russia,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","trump shifts stance on foreign relations, engaging with china and nato while distancing from russia",0.831317126750946,0.9158949255943298,0.9181370139122008,0.9170145988464355,high,The neutralized headline preserves the overall meaning of the original by indicating a shift in Trump's stance towards China and NATO while also noting his distancing from Russia.
japan pledges to help philippines rebuild marawi,japan's bold commitment: a ringside seat to the philippines' marawi reconstruction,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",japan's involvement in the philippines' marawi reconstruction efforts,0.7891799807548523,0.9491265416145324,0.9579184651374816,0.9535022377967834,medium,"While the neutralized headline conveys Japan's involvement with the Philippines' reconstruction efforts in Marawi, it lacks the explicit commitment or pledge aspect present in the original headline."
trump replaces chief of staff priebus with retired general kelly,"what does trump's new chief of staff, retired general kelly, mean for his administration?","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",trump appoints retired general kelly as new chief of staff,0.8150166869163513,0.9408763647079468,0.9254823327064514,0.9331158399581908,high,"The neutralized headline maintains the core meaning of the original by conveying that Trump has appointed General Kelly to the position of chief of staff, though it uses 'appoints' instead of 'replaces'."
"possible thales, leonardo role in franco-italian ship talks: sources",unveiling potential alliances: thales and leonardo in franco-italian ship negotiations,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",thales and leonardo in franco-italian ship negotiations,0.9212090373039246,0.9534056186676024,0.9261183738708496,0.9395639300346376,medium,"The neutralized headline suggests an active involvement of Thales and Leonardo in the negotiations, while the original implies that their roles are uncertain ('possible'), indicating a notable change in meaning."
"fake meat, free markets ease north koreans' hunger",could innovative solutions like fake meat transform north korean food security?,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",could innovative solutions like fake meat impact north korean food security,0.8434695601463318,0.8853599429130554,0.8874305486679077,0.8863940238952637,medium,"The neutralized headline shifts the focus from a specific positive outcome of fake meat and free markets easing hunger in North Korea to a general inquiry about the potential impact of solutions like fake meat on food security, resulting in a significant change in tone and emphasis."
biden team doubts us aid will help ukraine win – politico,biden's team questions effectiveness of u.s. aid in ukraine's fight: what’s at stake?,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",biden's team evaluates effectiveness of u.s. aid in ukraine's fight,0.7940855622291565,0.9091298580169678,0.8931378126144409,0.9010629057884216,medium,"The neutralized headline conveys a more evaluative tone and focuses on the effectiveness of the aid, while the original indicates doubts about its impact on winning, leading to a noticeable shift in meaning."
clinton says trump may have violated u.s. law on cuba,could trump's actions on cuba be a legal misstep? clinton weighs in,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",trump's actions on cuba evaluated for potential legal implications by clinton,0.8381074070930481,0.875825822353363,0.8914834260940552,0.8835852742195129,medium,"The neutralized headline conveys that Clinton is evaluating Trump's actions regarding Cuba for legal implications, but it does not clearly convey that Clinton directly accuses Trump of violating U.S. law."
