title,source_tag
trump says was being 'sarcastic' in thanking putin for embassy staff cuts,extended
"zimbabwe's top general ready ""to step in"" to end purge of ousted vp supporters",extended
"u.s. mulls south sudan pressure, cutting aid may not work: u.n. envoy",extended
markets cheer as chile's pinera gets strong mandate for presidency,extended
u.s. urges african nations to press north korea over nuclear program,extended
"iran foreign minister defends missile program, asks european support",extended
trump case: supreme court reluctant to grant full immunity to former president,original
four other suspects in killing of north korean kim jong nam named in court,extended
uk foreign secretary says hariri should return to lebanon,extended
"iran says tehran, ankara to confront disintegration of iraq, syria: tv",extended
u.s. congress' russia probes expand to trump's personal lawyer: abc news,extended
italian woman jailed in denmark for ordering murder online in bitcoin,extended
iranians pour onto the streets to mourn soldier beheaded in syria,extended
"tillerson, russia's lavrov discuss syria, ukraine, middle east",extended
support for german spd slumps to lowest this year: poll,extended
california moves presidential primary for bigger say in candidate choice,extended
u.s. tax repatriation plan may not cure long-term dollar weakness,extended
fugitive former thai pm yingluck gets five years' jail in absentia,extended
trump call for clinton investigation 'highly inappropriate': top senator,extended
exclusive: u.s. congressional committee demands answers on who cancer agency,extended
mozambique's president dismisses head of intelligence and army chief,extended
"u.s., russian, japanese crew arrive at space station",extended
uk's farage 'person of interest' in trump-russia investigation: guardian,extended
"house, senate republicans face challenge over corporate amt tax",extended
two republican senators say 'no' to straight obamacare repeal,extended
russia media group that angered kremlin is sold,extended
russia says islamic state operates near u.s base in syria unhindered,extended
south korea's moon says north korean provocations complicate situation on korean peninsula,extended
pakistan issues 'last warning' to islamists blocking route into capital,extended
obama highlights five priorities in meeting with republican leaders,extended
gritty new jersey a source of wealth for trump's son-in-law,extended
liberian court clears way for presidential run-off vote,extended
international observers will watch u.s. vote closely,extended
appeals court revives challenge to california county's gun law,extended
"white house chief of staff not quitting, says job is not to control trump",extended
new u.s. rule on class actions survives first challenge,extended
turkish nationalist leader says thousands ready to fight for iraq turkmen,extended
"cowboys, cardinals link arms amid anthem protests",extended
"no angst over turkey's air defense deal with russia, says nato chief",extended
trump rivals call for release of ny times editorial board tape,extended
"'there's no going back,' zimbabwe ruling party tells mugabe",extended
blinken to return to israel to discuss hostages and planned rafah incursion,original
kentucky governor sues to close abortion clinic,extended
"europe, global environment mean germany needs stable government, merkel says",extended
"pence visits afghanistan, says u.s. will 'see this through'",extended
"foreign ministers of u.s., cuba discuss obama trip: state department",extended
"for china, trump win creates uncertainty, opportunity",extended
use it or lose it: occasional ohio voters may be shut out in november,extended
too soon to tell how u.s. statement will affect settlements: israeli official,extended
malaysia's royals call for religious tolerance in rare public intervention,extended
planned parenthood sues ohio over plan to restrict funds,extended
pelosi urges gaza campus protesters to target hamas,original
trump says he is only in early stages of considering lifting russia sanctions,extended
us senate majority leader: 'be careful' implementing immigration curbs,extended
north korean official says will continue missile tests: bbc,extended
malay set to be singapore's first woman president: straits times,extended
senate confirms heather wilson as trump's air force secretary,extended
"india's modi remains overwhelmingly popular, says pew poll",extended
trudeau confronts canada's failure of indigenous people in u.n. speech,extended
"trump defends immigration order, says courts 'so political'",extended
no brexit deal worst-case scenario for britain: lords committee,extended
papua new guinea police order protesting asylum seekers out of australian-run camp,extended
nazareth cuts back christmas celebrations to protest trump's jerusalem move,extended
trump's epa pick resigns from rule of law defense fund: bloomberg,extended
young girl who tweeted from aleppo asks trump to help syrian children,extended
kenya court throws out opposition coalition from election challenges,extended
mccain calls on trump to help ukraine against russia attack,extended
small eruption at bali volcano triggers singapore travel advisory,extended
extension of iran sanctions act passes u.s. congress,extended
iraqi kurdish opposition party gorran calls on barzani to step down,extended
any u.s. military transgender ban could face major legal challenge,extended
u.s. tax reform debate moves away from ryan blueprint,extended
u.s. pressed to disclose secret court's order on yahoo email search,extended
spain's rajoy says he expects next phase of brexit talks soon,extended
trump to target obama's climate initiatives: white house website,extended
hillary clinton: wall street's favorite enemy,extended
republican vp candidate pence in 'excellent' health: doctor,extended
exclusive: congress asks u.s. agencies for kaspersky lab cyber documents,extended
bernie sanders' ghost tweeter keeps his brooklyn accent,extended
clinton leads trump by 5 points: reuters/ipsos poll,extended
greece considers extradition of bitcoin fraud suspect wanted by u.s. and russia,extended
illinois governor's bid to sell state-owned high-rise gains boost,extended
syrian militias aim to push islamic state out of raqqa within a month,extended
trump weighs 'half-blind' trust option for businesses: politico,extended
mitch mcconnell wants military-spending buildup after big win on ukraine aid,original
the trump presidency on feb. 23 at 6:45 p.m. est,extended
"hardline indonesian muslim groups burn u.s., israeli flags over trump's jerusalem move",extended
"obama to meet philippines' duterte, broach human rights",extended
"trump on twitter (april 11) - president of china, north korea",extended
zimbabwe's mugabe 'glowed' with relief after he quit: priest,extended
merkel offers to work with trump on basis of democratic values,extended
u.s. bombers flew over south korea's pilsung range in drill,extended
trump signs resolution allowing u.s. states to block family planning funds,extended
libyan sides call boris johnson's bodies remark 'unacceptable',extended
all clear at rubio campaign office after white powder scare,extended
"trump to order u.s. treasury to delve into taxes, post-crisis reforms",extended
trump says new trade orders set stage for manufacturing revival,extended
"britain accelerates brexit plans, divorce talks also to speed up",extended
india files sex assault case against airline passenger for allegedly molesting bollywood actress,extended
uk punters back an early exit for trump: bookmakers,extended
north korea rejects direct talks with south korea in russia: ria,extended
trump lacks team and clear plan for quick tax reform,extended
"cuba, u.s. to discuss detente in wake of trump election",extended
"spain blocks catalan independence vote, threatens charges",extended
senators urge trump to avoid blockade of venezuela oil shipments,extended
trump picks his company lawyer for special negotiator: statement,extended
"kremlin: stay calm, but new north korea missile test a provocative act",extended
texas governor signs into law bill to punish 'sanctuary cities',extended
"u.n. torture watchdog ends trip to rwanda, citing obstruction",extended
kenyan election head: no guarantee vote will be free and fair,extended
mattis praises philippine army on winning fight in marawi without rights abuse,extended
former republican candidate santorum endorses trump for president,extended
cholera claims unborn children as epidemic spreads yemen misery,extended
at least 13 killed during prison fight in northern mexico,extended
u.s. lawmakers want say on any trump russia sanctions move,extended
"iran says missile program non-negotiable, denies reuters report: agency",extended
"factbox: trump to meet with huckabee, romney, others this weekend",extended
obamacare taxes stand if senate fails to adopt health bill: brady,extended
czech election winner babis to seek minority government,extended
republican senator daines says he will support tax bill -statement,extended
uk government softens immigration rules for grenfell fire survivors,extended
"clinton says comey's letter, russian hackers cost her the election",extended
hurdles high for merkel in three-way 'jamaica' tie-up talks,extended
syrian rebels say discussing evacuation from territory near israel,extended
lawyer for egypt's ex-premier meets him at cairo hotel: facebook statement,extended
austria puts the squeeze on refugees with benefit cuts,extended
trump's jerusalem plan revives tensions in eu diplomacy,extended
trump presidency? bank of america ceo moynihan says company will be fine,extended
"bipartisan puerto rico crisis bill introduced, debt looms",extended
"trump denies asking comey to drop probe, decries 'witch hunt'",extended
"trump calls for immediate obamacare repeal, quick replacement: nyt",extended
everton v brentford: premier league – live,original
republican representative gowdy says he is not interested in fbi job,extended
turkey's erdogan to make historic visit to greece next week,extended
u.s. senator menendez's corruption trial to proceed: judge,extended
u.s. republican senator introduces obamacare repeal resolution,extended
trump pledges to move quickly to name new fbi director,extended
"hurricane max downgraded to tropical storm, moves inland over mexico",extended
flynn declines senate subpoena in russia probe,extended
egyptian air force says strikes arms convoy at libya border,extended
palestinians to call for emergency meeting of u.n. general assembly,extended
"u.n. chief, security council call on myanmar to end violence",extended
japan refueling u.s. missile defense ships keeping watch on north korean threat: source,extended
comey to testify to u.s. senate intelligence panel on june 8,extended
exclusive: trump spurns taiwan president's suggestion of another phone call,extended
kremlin says it has no compromising dossier on trump,extended
sarah palin says husband still in intensive care after accident,extended
"comey says trump told him, 'i need loyalty. i expect loyalty'",extended
drugmaker shares slip as trump tweets about pricing system,extended
ecuador court sentences vp to six years in jail in odebrecht graft case,extended
"echoing france, germany says may offered 'nothing concrete' on brexit",extended
alleged islamic state recruiter goes on trial in germany,extended
"explainer - damian green, uk pm's may deputy, resigns over pornography scandal",extended
pages of u.s. 9/11 report detailing possible saudi ties made public,extended
tech investor thiel to donate $1.25 million to trump campaign,extended
two rich italian regions vote for more autonomy - prelim results,extended
north korean nuclear test prompts global condemnation,extended
crocodile kills british journalist holidaying in sri lanka,extended
germany's fdp does not rule out renewed coalition talks: beer,extended
factbox - german coalition watch: agreeing on lowest common denominator not enough - greens,extended
israeli missiles target syrian military facility near damascus: syrian state media,extended
france raises prospect of new sanctions on iran over ballistic program,extended
trump asks for probe into imports of foreign-made steel: officials,extended
factbox: congressional republicans kill obama-era regulations,extended
defense chief say he has power to set afghan troop levels,extended
gun shops eye busy black friday despite hillary clinton loss,extended
top nsa official ridicules allegation britain spied on trump,extended
"time to move on from algeria's colonial past, says france's macron",extended
north korea says rockets to u.s. 'inevitable' as u.s. bombers fly off north korean coast,extended
"top democratic senator probes swift, ny fed about bangladesh heist",extended
thai former pm yingluck gets five-year jail term for negligence,extended
youths charged with murder after fatal fire at malaysian school,extended
bengaluru building collapse kills at least five: officials,extended
barnier says 'still working' on brexit terms with britain,extended
house intelligence panel leaders split over session on russia,extended
trump administration fights its own agency in u.s. court,extended
"trump white house will not make visitor logs public, break from obama policy",extended
saudi deputy governor killed in helicopter crash near yemen,extended
hong kong democracy activists granted bail as they seek to appeal against jail terms,extended
singapore founder's grandson names lawyer in contempt case,extended
philippines to sanction firms involved in deadly fire if safety skirted,extended
"after healthcare failure, republicans face similar divisions on tax reform",extended
trump lifts cyber command status to boost cyber defense,extended
"six months on, grenfell fire survivors weep at london memorial",extended
u.s. top court rejects challenge to political ad disclosure rules,extended
art of the spin: trump bankers question his portrayal of financial comeback,extended
where are the gaza protests at us universities?,original
"under fire in washington, trump back in campaign mode in iowa",extended
saudi says iranian talk of rapprochement is laughable,extended
france steeled for epic six nations decider against dominant england,original
u.s sanctions north koreans for 'flagrant' rights abuse,extended
bangladesh warns myanmar over border amid refugee crisis,extended
cuba delays municipal elections due to irma devastation,extended
leaders of 18 countries urge hamas to release hostages held in gaza,original
hindus fleeing myanmar violence hope for shelter in modi's india,extended
north korean missile launch unacceptable violation of its obligations: eu,extended
election crisis engulfs honduras with rivals neck-and-neck,extended
driver charged with attempted murder over australian vehicle attack,extended
religious liberty bill passes georgia state legislature,extended
indonesian police warn islamists against raids in search of santa hats,extended
virginia republicans seek to block governor's voting rights restoration,extended
"world powers push saudis, iran to stop interfering in lebanon",extended
"story withdrawn: wealthy win in u.s. house tax bill, taxes rise for some - think tank",extended
turkey says unacceptable to invite syrian kurdish ypg to astana talks: erdogan spokesman,extended
powerful mexico former union boss granted house arrest,extended
uk foreign minister criticized for resurrecting 'brexit benefit' mantra,extended
police say suspicious package at frankfurt christmas market harmless,extended
california legislature sends $122.5 billion budget to governor,extended
france's national front on verge of split after election setback,extended
trump urged senate republicans to drop panel's russia probe: nyt,extended
"trump warns he could end nato guarantee, scrap nafta",extended
zimbabwe protest crowd heads to mugabe's harare compound,extended
u.s. issues travel advisory for india amid fears of islamic state attacks,extended
"cohen, close trump business adviser, to testify in senate on tuesday",extended
myanmar army battles rohingya insurgents; thousands flee,extended
"german police raid places linked to suspected islamist militant, seize guns",extended
luke littler silences boo boys to win premier league darts final in liverpool,original
lawyer ty cobb to join white house to handle russia probes,extended
three trump children seen managing president-elect's company,extended
senate republicans complain of chaos in healthcare effort,extended
turkey to retry opposition lawmaker jailed on espionage charges: ntv,extended
trump says picks mulvaney to be white house budget director,extended
germany's economy minister: u.s.-eu free trade talks have failed,extended
schiff says accepted white house invitation to review intelligence,extended
"democrats skip trump meeting, raising risk of government shutdown",extended
indonesia parliament speaker taken into custody by anti-graft agency,extended
trump taps fed centrist powell to lead u.s. central bank,extended
trump acknowledges obama was born in the united states,extended
no indication russia wants positive relationship with u.s.: mattis,extended
fbi schedules 11 a.m. news conference on florida nightclub shooting,extended
london mayor calls for uk apology over colonial-era massacre in india,extended
trump to announce review of vehicle emissions rules: sources,extended
egypt's sisi invites palestinian president to cairo to discuss trump's jerusalem move,extended
trump on twitter (dec 20) - tax bill,extended
"india's modi to meet obama, address congress next month",extended
police question netanyahu for fifth time in corruption case,extended
danish high court finds 17-year old girl guilty of planning bomb attacks against schools -local media,extended
lifting of vietnam arms ban not aimed at china: kerry,extended
belarus plays down western fears of aggression stirred by joint war games with russia,extended
"at least three dead, scores rescued off greek islands as arrivals rise",extended
u.s. supreme court to hear ohio's bid to revive voter purge policy,extended
china says hopes all parties can resolve north korea issue peacefully,extended
trump seeks to boost presidential bid with $10 million infusion: reports,extended
white house: iaea report on iran nuclear deal is more than technicality,extended
russia says its air strike kills several top islamic state commanders in syria,extended
trump says north korea missile launch 'a situation that we will handle',extended
"kazakhstan to re-examine 2004 banker's death, may target nazarbayev critic",extended
new zealand pm-designate confirms review of central bank act,extended
turkey summons german envoy over kurdish rally in cologne,extended
"trump can't stop american progress on climate, al gore tells cannes",extended
"eu must be part of u.s. middle east peace push, ireland says",extended
sessions refuses to discuss conversations with trump on russia,extended
u.s. general sees no change in pakistan behavior despite trump tough line,extended
actor russell crowe criticizes australian bid to move asylum seekers,extended
"'green' funds flush with new cash, challenges as trump era dawns",extended
trump opponents urge u.s. supreme court to rule on travel ban,extended
u.s. senate confirms trump trade representative ahead of nafta talks,extended
brother of marseille attacker arrested in italy: police,extended
german parties in coalition talks agree on no new debt,extended
"pakistan's hostage rescue hailed, but tensions with u.s. remain",extended
trump gives u.s. green light to keystone xl pipeline,extended
putin and erdogan to use meeting next week to discuss syria: agencies,extended
house intelligence panel has yet to see new surveillance evidence: democrat,extended
"rockets strike downtown kabul, no casualties reported",extended
bali airport may stay closed longer than 24 hours amid agung eruption: governor,extended
factbox: fed and presidential campaign: where candidates stand ,extended
"house lifts block on google-hosted apps, yahoo mail remains blacklisted",extended
"scrap plan for new banking tax, london financiers tells uk opposition party",extended
obama continues to back fbi director comey: white house,extended
"trump rejects criticism, vents at news media in campaign speech",extended
trump team considering new non-nuclear sanctions on iran: ft,extended
"china says hopes u.s. can abandon bias, view china objectively",extended
"facing graft probe, pakistan finance minister relieved of duties",extended
"week in wildlife – in pictures: a lazy leopard, a moonwalking elephant and hitchhiking ducklings",original
obama torches trump at his final washington correspondents' dinner,extended
senate to debate puerto rico debt bill: mcconnell,extended
kuwait tells aoun it supports lebanese sovereignty,extended
trump warns republicans to 'be careful' over obamacare: tweet,extended
leadership of german far right splits hours after electoral success,extended
"lebanon pm hariri resigns, assails iran and hezbollah",extended
trump unveils companies' $500 million u.s. drug packaging project,extended
south korea spy agency sees signs of planned new missile test by north,extended
clinton campaign hits trump for seeing brexit as boon to his business,extended
hariri returns to lebanon for first time since resigning as pm,extended
iran's zarif raps u.s. supreme court's partial revival of travel ban,extended
"trump plans 28 percent cut in budget for diplomacy, foreign aid",extended
russia's response to trump leak reports: don't read u.s. newspapers,extended
trump's washington hotel a conflict of interest: democratic lawmakers,extended
supreme court divided in immigration detention dispute,extended
"in movie-style heist, kenya robbers tunnel into bank opposite police station",extended
trump budget would sell entire u.s. northeast gasoline reserve,extended
few expect trump's 15-percent corporate tax rate: deloitte survey,extended
how republicans can hobble obamacare even without repeal,extended
secret u.s. court issues first order for phone data under new law,extended
trump taps net neutrality opponent ajit pai to head fcc,extended
trump open to social security changes if elected: adviser,extended
greek police cut down to size: eu court rules for women,extended
democrats fear hackers targeted tight florida races for latest data leaks,extended
"for some syrians in u.s., strikes turned trump from villain to hero",extended
a new generation at uc berkeley pitches its tents,original
tillerson calls mexico long-standing friend of united states,extended
alabama insurgent's victory emboldens u.s. anti-establishment republicans,extended
"house panel seeks fbi, department of justice documents on comey firing",extended
trump administration's nafta demands make sense: union pacific ceo,extended
"trump, u.s. congress will agree on some issues, long-term questions loom",extended
pakistani diplomat shot in afghanistan,extended
"trump gains on clinton despite furor over women, election comments",extended
"brexit leader nigel farage addresses trump rally, bashes clinton",extended
putin ally wins right to develop prime moscow plot: sources,extended
we'll lift russia sanctions when east ukraine is peaceful: merkel,extended
catalan pro-independence party says will take part in december 21 election,extended
peru's president tells trump he favors bridges to walls,extended
six michigan officials criminally charged in flint water crisis,extended
"iran's rouhani says sochi summit 'right step, at right time' for syria",extended
east timor president says to swear in mari alkatiri as pm,extended
trump's 'obsession' with anchorwoman kelly is 'deplorable': fox,extended
uk electoral body fines liberal democrats over brexit vote expenses,extended
"senate to act this week on obamacare repeal, mcconnell says",extended
trump wants ex-goldman partner mnuchin to run u.s. treasury: fox business,extended
"thai rubber farmers plan protest over low prices, seek aid",extended
"bus plunges into river in nepal, killing at least 31",extended
britain joins u.s. in blaming north korea for 'wannacry' attack,extended
ex-f.b.i. lawyer who criticized trump says bureau failed to warn her about stalker,original
penny mordaunt appointed new uk aid minister: pm may's office,extended
trump tax proposal would mostly benefit new york's wealthy: report,extended
trump says japan would shoot north korean missiles 'out of sky' if it bought u.s. weaponry,extended
u.s. house republican gun bill draws the ire of democrats,extended
"business booms at trump tower, nearby retailers hit by security and crowds",extended
britain summons north korean ambassador over missile test,extended
trump says sets measure to punish companies that outsource,extended
top tech executives to attend trump summit on wednesday: recode,extended
"pence, trudeau discuss u.s.-canada trade disagreements",extended
"turkish capital bans lgbt cinema, exhibitions",extended
"emirates, etihad, qatar to let barred passengers on u.s. flights",extended
uk pm may to hold bilateral meeting with trump at g20: uk govt. official,extended
alien donald trump appears on mexico city billboard,extended
senior u.s. republican senator: 'let mr. mueller do his job',extended
"uk pm cameron says trump policy on muslims is wrong, will not apologize",extended
markets ignore trump presidential bid at their peril,extended
saudi-led air strike kills 26 people in yemen: medics,extended
"trump advisers push him to target opec, regulations in big energy speech",extended
trump says iran must stop funding and training 'terrorists and militias' immediately,extended
british minister arrives for pm meeting over undisclosed meetings,extended
u.s. labor chief wants more drastic changes to nafta from trump,extended
yemen's houthis say iranian missile charges a distraction from jerusalem decision,extended
"trump to speak with leaders of russia, germany, france: white house",extended
north korean embassy official in focus at kim jong nam trial,extended
france calls for rapid resolution in case of journalist arrested in turkey,extended
tillerson to meet with southeast asian foreign ministers in may,extended
"black lawmakers meet with trump about infrastructure, reducing crime",extended
explainer: myanmar wields colonial-era law against reuters journalists,extended
democrats urge epa not to reopen vehicle fuel efficiency rules,extended
iran says no need to increase missile range as can already hit u.s. forces,extended
petition filed at kenya's supreme court challenging election results,extended
trump adviser from wall street backs u.s. bank breakup law,extended
car bomb kills journalist in somali capital,extended
china says trump call with taiwan president won't change island's status,extended
former intelligence officials say trump is being manipulated by putin,extended
couple defy hurricane maria on roof to save pets - lots of them,extended
"amid scandal, bluster and insults, trump closes in on white house",extended
trump: 'no one really knows' how much tax plan would generate,extended
house speaker ryan briefed trump on healthcare bill voting: white house,extended
south korea's moon says north korea provocations will result in more isolation,extended
obama says hopes trump can stand up to russia when needed,extended
white house says trump not eying corporate tax rate phase-in,extended
bolivia's morales leads 'che' homage 50 years after execution,extended
mattis says will try to work with pakistan 'one more time',extended
u.s.-backed sdf says raqqa campaign in final stages,extended
u.s. lawmakers ask wells about taking back bonuses linked to scam case,extended
republican senator lee says he will vote for tax bill,extended
"trump was wrong to pardon controversial sheriff, ryan says",extended
key u.s. senate committee leaders say russia sanctions must remain,extended
"philippine ferry capsizes with 251 on board, four dead",extended
turkey's erdogan says u.s. attack in syria 'positive' but not enough,extended
top tech official at hacked u.s. personnel agency retires under pressure,extended
sanders at vatican says rich-poor gap worse than 100 years ago,extended
republican presidential nominee carson's finance chair quits,extended
turkey says northern iraqi referendum an issue of national security,extended
trump to receive multiple options on iran nuclear deal: tillerson,extended
turkey's atlasglobal says flights out of copenhagen back to normal: statement,extended
"zach johnson, pieters share lead at firestone",extended
king charles iii will soon resume public royal duties as he makes good progress in his battle against cancer.,original
fema tells u.s. states to improve their own disaster relief efforts,extended
